id,stock_symbol,stock_date,adjusted_close
1,AAPL,1/2/2019,37.66717911
2,AAPL,1/3/2019,33.91525269
3,AAPL,1/4/2019,35.36307144
4,AAPL,1/7/2019,35.28435898
5,AAPL,1/8/2019,35.95698547
6,AAPL,1/9/2019,36.56759644
7,AAPL,1/10/2019,36.68447495
8,AAPL,1/11/2019,36.3243103
9,AAPL,1/14/2019,35.77810287
10,AAPL,1/15/2019,36.51035309
11,AAPL,1/16/2019,36.95639038
12,AAPL,1/17/2019,37.17583847
13,AAPL,1/18/2019,37.40481567
14,AAPL,1/22/2019,36.56522751
15,AAPL,1/23/2019,36.71310806
16,AAPL,1/24/2019,36.4221077
17,AAPL,1/25/2019,37.62901306
18,AAPL,1/28/2019,37.28078079
19,AAPL,1/29/2019,36.89437866
20,AAPL,1/30/2019,39.41553497
21,AAPL,1/31/2019,39.69937515
22,AAPL,2/1/2019,39.7184639
23,AAPL,2/4/2019,40.84667206
24,AAPL,2/5/2019,41.5455246
25,AAPL,2/6/2019,41.55984116
26,AAPL,2/7/2019,40.77272034
27,AAPL,2/8/2019,40.82063675
28,AAPL,2/11/2019,40.58586502
29,AAPL,2/12/2019,40.9356041
30,AAPL,2/13/2019,40.76553726
31,AAPL,2/14/2019,40.91405869
32,AAPL,2/15/2019,40.82302094
33,AAPL,2/19/2019,40.94518661
34,AAPL,2/20/2019,41.20868301
35,AAPL,2/21/2019,40.97633362
36,AAPL,2/22/2019,41.43386459
37,AAPL,2/25/2019,41.73568344
38,AAPL,2/26/2019,41.75965118
39,AAPL,2/27/2019,41.88898849
40,AAPL,2/28/2019,41.4769783
41,AAPL,3/1/2019,41.91294479
42,AAPL,3/4/2019,42.12374496
43,AAPL,3/5/2019,42.04708481
44,AAPL,3/6/2019,41.80516052
45,AAPL,3/7/2019,41.3212738
46,AAPL,3/8/2019,41.41949081
47,AAPL,3/11/2019,42.85435867
48,AAPL,3/12/2019,43.3358345
49,AAPL,3/13/2019,43.52747726
50,AAPL,3/14/2019,44.01135254
51,AAPL,3/15/2019,44.58386612
